Dots,Paypal,Bank,Account,Click,Fill,URL,Javascript,Phishing
1,0,0,0,0,0,0,0,True
1,0,0,3,0,1,2,0,True
1,0,0,5,1,0,2,0,True
1,0,0,4,1,0,2,0,True
1,0,0,4,2,0,3,0,True
1,0,0,4,2,0,3,0,True
1,0,0,4,0,0,2,0,True
1,0,0,0,0,0,0,0,True
1,0,0,4,1,0,4,0,True
1,0,0,4,1,0,4,0,True
1,0,0,4,1,0,2,0,True
1,0,0,4,1,0,2,0,True
1,0,0,4,0,0,2,0,True
1,0,2,0,0,0,3,0,True
1,0,0,5,0,0,2,0,True
1,0,0,0,0,0,0,0,True
1,0,0,0,1,0,11,0,True
1,0,0,3,1,0,3,0,True
2,0,0,5,0,0,2,0,True
1,0,0,2,0,0,3,0,True
1,0,0,0,0,0,1,0,True
1,0,1,5,1,0,3,0,True
1,0,0,1,0,0,2,0,True
1,0,0,1,0,0,2,0,True
1,0,0,1,0,0,2,0,True
1,0,0,0,0,0,3,0,True
1,0,0,10,0,0,3,0,True
1,0,1,10,1,0,3,0,True
1,0,0,4,0,0,2,0,True
1,0,0,0,0,0,1,0,True
1,0,0,0,0,0,1,0,True
1,0,1,5,1,0,3,0,True
1,0,1,5,1,0,3,0,True
1,0,0,1,0,0,2,0,True
1,0,0,1,0,0,2,0,True
1,0,1,0,0,0,1,0,True
1,0,1,0,0,0,1,0,True
1,0,0,3,1,0,4,0,True
1,0,0,0,0,0,2,0,True
1,0,1,0,0,0,1,0,True
1,0,0,3,0,0,2,0,True
1,0,0,3,0,0,2,0,True
1,0,0,2,0,1,1,0,True
1,0,0,2,0,1,1,0,True
1,0,0,3,0,0,9,0,True
1,0,0,2,1,0,5,0,True
1,0,0,1,0,0,1,0,True
1,0,0,2,1,0,2,0,True
1,0,0,9,1,0,2,0,True
1,0,0,2,0,1,3,0,True
1,0,0,15,1,0,2,0,True
1,0,0,1,0,0,1,0,True
1,0,0,1,0,0,1,0,True
1,0,0,4,1,0,5,0,True
1,0,0,1,1,0,3,0,True
1,0,0,2,0,1,3,0,True
1,0,0,3,0,0,5,0,True
1,0,0,3,0,0,5,0,True
1,0,0,3,0,0,5,0,True
1,0,0,3,0,0,5,0,True
1,0,0,4,1,0,5,0,True
